sample,sex,fastq_1,fastq_2,strandedness
HSB282,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB282_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB282_2_val_2.fq.gz,reverse
HSB286,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB286_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB286_2_val_2.fq.gz,reverse
HSB289,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB289_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB289_2_val_2.fq.gz,reverse
HSB292,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB292_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB292_2_val_2.fq.gz,reverse
HSB316,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB316_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB316_2_val_2.fq.gz,reverse
HSB321,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB321_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB321_2_val_2.fq.gz,reverse
HSB322,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB322_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB322_2_val_2.fq.gz,reverse
HSB332,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB332_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB332_2_val_2.fq.gz,reverse
HSB337,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB337_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB337_2_val_2.fq.gz,reverse
HSB338,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB338_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB338_2_val_2.fq.gz,reverse
HSB339,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB339_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB339_2_val_2.fq.gz,reverse
HSB340,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB340_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB340_2_val_2.fq.gz,reverse
HSB341,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB341_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB341_2_val_2.fq.gz,reverse
HSB342,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB342_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB342_2_val_2.fq.gz,reverse
HSB343,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB343_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB343_2_val_2.fq.gz,reverse
HSB344,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB344_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB344_2_val_2.fq.gz,reverse
HSB345,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB345_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB345_2_val_2.fq.gz,reverse
HSB388,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB388_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB388_2_val_2.fq.gz,reverse
HSB389,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB389_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB389_2_val_2.fq.gz,reverse
HSB394,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB394_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB394_2_val_2.fq.gz,reverse
HSB395,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB395_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB395_2_val_2.fq.gz,reverse
HSB396,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB396_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB396_2_val_2.fq.gz,reverse
