sample,sex,fastq_1,fastq_2,strandedness
HSB463,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB463_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB463_2_val_2.fq.gz,reverse
HSB472,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB472_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB472_2_val_2.fq.gz,reverse
HSB562,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB562_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB562_2_val_2.fq.gz,reverse
HSB590,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB589_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB589_2_val_2.fq.gz,reverse
HSB657,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB657_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB657_2_val_2.fq.gz,reverse
HSB573,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB593_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB593_2_val_2.fq.gz,reverse
HSB433,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB433_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB433_2_val_2.fq.gz,reverse
HSB100,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB100_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB100_2_val_2.fq.gz,reverse
HSB261,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB261_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB261_2_val_2.fq.gz,reverse
HSB439,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB439_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB439_2_val_2.fq.gz,reverse
HSB633,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB633_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB633_2_val_2.fq.gz,reverse
HSB195,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB195_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB195_2_val_2.fq.gz,reverse
HSB444,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB444_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB444_2_val_2.fq.gz,reverse
HSB646,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB646_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB646_2_val_2.fq.gz,reverse
HSB440,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB440_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB440_2_val_2.fq.gz,reverse
HSB442,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB442_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB442_2_val_2.fq.gz,reverse
HSB566,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB566_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB566_2_val_2.fq.gz,reverse
HSB430,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB430_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB430_2_val_2.fq.gz,reverse
